Source File,Order ID,Customer ID,Order Date,Contact Name,Address,City,Postal Code,Country,Phone,Fax,Product ID,Product Name,Quantity,Unit Price,Total Price
invoice_10248.pdf,10248,VINET,2016-07-04,Paul Henriot,59 rue de l'Abbaye,Reims,51100,France,26.47.15.10,26.47.15.11,11,Queso Cabrales,12,14.0,440.0
invoice_10248.pdf,10248,VINET,2016-07-04,Paul Henriot,59 rue de l'Abbaye,Reims,51100,France,26.47.15.10,26.47.15.11,42,Singaporean Hokkien Fried Mee,10,9.8,440.0
invoice_10248.pdf,10248,VINET,2016-07-04,Paul Henriot,59 rue de l'Abbaye,Reims,51100,France,26.47.15.10,26.47.15.11,72,Mozzarella di Giovanni,5,34.8,440.0
invoice_10249.pdf,10249,TOMSP,2016-07-05,Karin Josephs,Luisenstr. 48,Münster,44087,Germany,0251-031259,0251-035695,14,Tofu,9,18.6,1863.4
invoice_10249.pdf,10249,TOMSP,2016-07-05,Karin Josephs,Luisenstr. 48,Münster,44087,Germany,0251-031259,0251-035695,51,Manjimup Dried Apples,40,42.4,1863.4
invoice_10250.pdf,10250,HANAR,2016-07-08,Mario Pontes,"Rua do Paço, 67",Rio de Janeiro,05454-876,Brazil,(21) 555-0091,(21) 555-8765,41,Jack's New England Clam Chowder,10,7.7,1813.0
invoice_10250.pdf,10250,HANAR,2016-07-08,Mario Pontes,"Rua do Paço, 67",Rio de Janeiro,05454-876,Brazil,(21) 555-0091,(21) 555-8765,51,Manjimup Dried Apples,35,42.4,1813.0
invoice_10250.pdf,10250,HANAR,2016-07-08,Mario Pontes,"Rua do Paço, 67",Rio de Janeiro,05454-876,Brazil,(21) 555-0091,(21) 555-8765,65,Louisiana Fiery Hot Pepper Sauce,15,16.8,1813.0
invoice_10251.pdf,10251,VICTE,2016-07-08,Mary Saveley,"2, rue du Commerce",Lyon,69004,France,78.32.54.86,78.32.54.87,22,Gustaf's Knäckebröd,6,16.8,670.8
invoice_10251.pdf,10251,VICTE,2016-07-08,Mary Saveley,"2, rue du Commerce",Lyon,69004,France,78.32.54.86,78.32.54.87,57,Ravioli Angelo,15,15.6,670.8
invoice_10251.pdf,10251,VICTE,2016-07-08,Mary Saveley,"2, rue du Commerce",Lyon,69004,France,78.32.54.86,78.32.54.87,65,Louisiana Fiery Hot Pepper Sauce,20,16.8,670.8
invoice_10252.pdf,10252,SUPRD,2016-07-09,Pascale Cartrain,"Boulevard Tirou, 255",Charleroi,B-6000,Belgium,(071) 23 67 22 20,(071) 23 67 22 21,20,Sir Rodney's Marmalade,40,64.8,3730.0
invoice_10252.pdf,10252,SUPRD,2016-07-09,Pascale Cartrain,"Boulevard Tirou, 255",Charleroi,B-6000,Belgium,(071) 23 67 22 20,(071) 23 67 22 21,33,Geitost,25,2.0,3730.0
invoice_10252.pdf,10252,SUPRD,2016-07-09,Pascale Cartrain,"Boulevard Tirou, 255",Charleroi,B-6000,Belgium,(071) 23 67 22 20,(071) 23 67 22 21,60,Camembert Pierrot,40,27.2,3730.0
invoice_10253.pdf,10253,HANAR,2016-07-10,Mario Pontes,"Rua do Paço, 67",Rio de Janeiro,05454-876,Brazil,(21) 555-0091,(21) 555-8765,31,Gorgonzola Telino,20,10.0,1444.8000000000002
invoice_10253.pdf,10253,HANAR,2016-07-10,Mario Pontes,"Rua do Paço, 67",Rio de Janeiro,05454-876,Brazil,(21) 555-0091,(21) 555-8765,39,Chartreuse verte,42,14.4,1444.8000000000002
invoice_10253.pdf,10253,HANAR,2016-07-10,Mario Pontes,"Rua do Paço, 67",Rio de Janeiro,05454-876,Brazil,(21) 555-0091,(21) 555-8765,49,Maxilaku,40,16.0,1444.8000000000002
invoice_10254.pdf,10254,CHOPS,2016-07-11,Yang Wang,Hauptstr. 29,Bern,3012,Switzerland,0452-076545,None,24,Guaraná Fantástica,15,3.6,625.2
invoice_10254.pdf,10254,CHOPS,2016-07-11,Yang Wang,Hauptstr. 29,Bern,3012,Switzerland,0452-076545,None,55,Pâté chinois,21,19.2,625.2
invoice_10254.pdf,10254,CHOPS,2016-07-11,Yang Wang,Hauptstr. 29,Bern,3012,Switzerland,0452-076545,None,74,Longlife Tofu,21,8.0,625.2
invoice_10255.pdf,10255,RICSU,2016-07-12,Michael Holz,Grenzacherweg 237,Genève,1203,Switzerland,0897-034214,None,2,Chang,20,15.2,2490.5
invoice_10255.pdf,10255,RICSU,2016-07-12,Michael Holz,Grenzacherweg 237,Genève,1203,Switzerland,0897-034214,None,16,Pavlova,35,13.9,2490.5
invoice_10255.pdf,10255,RICSU,2016-07-12,Michael Holz,Grenzacherweg 237,Genève,1203,Switzerland,0897-034214,None,36,Inlagd Sill,25,15.2,2490.5
invoice_10255.pdf,10255,RICSU,2016-07-12,Michael Holz,Grenzacherweg 237,Genève,1203,Switzerland,0897-034214,None,59,Raclette Courdavault,30,44.0,2490.5
invoice_10256.pdf,10256,WELLI,2016-07-15,Paula Parente,"Rua do Mercado, 12",Resende,08737-363,Brazil,(14) 555-8122,None,53,Perth Pasties,15,26.2,517.8
invoice_10256.pdf,10256,WELLI,2016-07-15,Paula Parente,"Rua do Mercado, 12",Resende,08737-363,Brazil,(14) 555-8122,None,77,Original Frankfurter grüne Soße,12,10.4,517.8
invoice_10257.pdf,10257,HILAA,2016-07-16,Carlos Hernández,Carrera 22 con Ave. Carlos Soublette #8-35,San Cristóbal,5022,Venezuela,(5) 555-1340,(5) 555-1948,27,Schoggi Schokolade,25,35.1,1119.9
invoice_10257.pdf,10257,HILAA,2016-07-16,Carlos Hernández,Carrera 22 con Ave. Carlos Soublette #8-35,San Cristóbal,5022,Venezuela,(5) 555-1340,(5) 555-1948,39,Chartreuse verte,6,14.4,1119.9
invoice_10257.pdf,10257,HILAA,2016-07-16,Carlos Hernández,Carrera 22 con Ave. Carlos Soublette #8-35,San Cristóbal,5022,Venezuela,(5) 555-1340,(5) 555-1948,77,Original Frankfurter grüne Soße,15,10.4,1119.9
invoice_10258.pdf,10258,ERNSH,2016-07-17,Roland Mendel,Kirchgasse 6,Graz,8010,Austria,7675-3425,7675-3426,2,Chang,50,15.2,2018.6
